,en,hypothesis,reference,score
0,Peter Van Sant: And it means what?,I-Peter Van Sant: Futhi lokhu kuyinto?,Peter Van Sant: Bese kusho ukuthini?,0.5081327481546147
1,"The cost to society will be substantial, the report says. In 2019 alone, it estimates a $290 billion burden from health care, long-term case and hospice combined. Medicare and Medicaid will cover $195 billion of that, with out-of-pocket costs to caregivers reaching $63 billion.","I-cost for society will be substantial, i-rapport says. Enye ngo-2019, i-cost estimates a $290 billion i-cost from health care, long-term case and hospice combined. I-Medicare and Medicaid will cover $195 billion of that, with out-of-pocket costs to caregivers reach $63 billion.","Izindleko zomphakathi zizoba zinkulu, ngokusho kombiko. Ngonyaka wezi-2019 uwodwa, umthwalo wezindleko zezempilo ulinganiselwa kuzigidigidi ezingama-$290, kuhlanganiswa ukugula kwesikhathi eside kanye ne-hospice.  I-Medicare ne-Medicaid izokhokhela izindleko eziyizigidigidi ezingama-$195 walokho, ngezindleko ezikhokhwa ngqo zabanakekeli ezifinyelela kuzigidigidi ezingama-$63.",0.3951882613244048
2,It is now up to them to make the most of it.,Kuhlolwe kulungile nge-intanethi!,Sekulele kubo ukuthi bayisebenzise ngendlela ezoba nenzuzo kakhulu.,0.0
3,"""""""The CPS is carefully considering all the available information, including the impact on Harry's family, in order to make an independent and objective charging decision.""","""I-CPS inikeza ngokuvumelana zonke i-informations yayo, kuhlanganise imiphumela kwi-Harry's family, ukuze ufake isitimela yokuthunyelwa nokuthunyelwa.""","""""""I-CPS icubungulisisa lonke ulwazi olukhona, okubandakanya umthelela emndenini kaHarry, ukuze kuthathwe isinqumo sokukhokhisa esizimele nesingachemile.""",0.5081327481546147
4,TV audiences were left outraged after a teenage girl appeared on Channel 4's 24 Hours in A&E complaining of a broken finger nail.,Umhlahlandlela ye-Televisory ayikuthunyelwe emva kokubonisa kwe-Channel 4's 24 Hours e-A&E ngokugcwele kwe-Finger Neck.,Izibukeli zaku-TV zishiywe zimangele emuva kokuba kuvele intombazane esakhula ohlelweni i-24 Hours ku-A&E kuShaneli 4 ikhalaza ngokuphukelwa wuzipho.,0.3584906414659199
5,"The disgusting note read: 'Put your dog on a lead, slag!",I-Note ye-Note ye-Note ye-Note ye-Note ye-Note ye-Note ye-Note ye-Note ye-Note.,"Umbhalo onyanyisayo ubufundeka kanje: 'Beka inja yakho phambili, slag!",0.0
6,Sen Sen CEO Subhash Challa,Imininingwane Imininingwane,USen Sen u-CEO weSubhash Challa,0.0
7,"Someone behind the camera says: 'Hi guys, hi!","Umntu ekhaya kamera wathi: 'Hey guys, hello!","Kunomuntu ongemuva kwekhamera othi: Sanibonani bafowethu, sanibonani!",0.0
8,"""""""She was devoted to children and especially animals, including a wild fox who we are continuing to feed now that she has gone.""""""","""Wagqibela ukufumana imizuzu, futhi ngokuvumelana imizuzu, ngokuvumelana imizuzu ezininzi, okuyinto usayizi ukufumana ngoku, lapho siya kuqala.""","""""""Wayezinikele ezinganeni ikhalukazi nasezilwaneni, okubandakanya impungushe yasendle esiqhubekayo nokuyiphakela namanje engasekho.""""""",0.0
9,Are there literally ... no other actors alive?,Ingabe inguqulelo inguqulelo inguqulelo inguqulelo?,Ingabe ngempela ... abasekho nhlobo abanye abalingisi abasaphila?,0.3670124608961283
